"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14844","projects page - All Projects tab","Edge Stable","2026-03-03","passed","2026-03-03","","01_All Projects.spec.ts","",""
"","3042","has title","Edge Stable","2026-02-27","failed","2026-02-27","","example.spec.ts","",""
"","31552","test","Edge Stable","2026-03-03","broken","2026-03-03","","test-1.spec.ts","",""
"","10281","projects page - All Projects tab with 2 tabs open","Edge Stable","2026-03-02","passed","2026-03-02","","01_All Projects.spec.ts","",""
"","32752","projects page has a title and correct URL (keep Edge open)","Edge Stable","2026-03-01","broken","2026-03-01","","01_All Projects.spec.ts","",""
"","6031","projects page - Drafts tab with 2 tabs open","Edge Stable","2026-03-02","passed","2026-03-02","","02_Drafts.spec.ts","",""
"","14935","test","Edge Stable","2026-03-01","passed","2026-03-01","","test-2.spec.ts","",""
"","8566","projects page has a title and correct URL (keep Edge open)","Edge Stable","2026-02-27","passed","2026-02-27","","projects.spec.ts","",""
"","2253","get started link","Edge Stable","2026-02-27","failed","2026-02-27","","example.spec.ts","",""
"","31482","projects page has a title and correct URL - Drafts tab (keep Edge open)","Edge Stable","2026-03-01","broken","2026-03-01","","02_Drafts.spec.ts","",""
"","3162","03_Verify All Projects tabs","Edge Stable","2026-03-02","failed","2026-03-02","","03_Verify_All_Projects_Tabs.spec.ts","",""
"","20023","projects page - Drafts tab (single tab only)","Edge Stable","2026-03-03","passed","2026-03-03","","02_Drafts.spec.ts","",""
"","5611","TC-03: Projects Portal UI baseline (single tab only)","Edge Stable","2026-03-02","failed","2026-03-02","","03_Verify_All_Projects_Tabs.spec.ts","",""
